statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1994-12-31;DLAND;Bundesländer;15;Sachsen-Anhalt;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;8;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2000-12-31;DLAND;Bundesländer;02;Hamburg;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;363;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1992-12-31;DLAND;Bundesländer;04;Bremen;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;8412;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1993-12-31;DLAND;Bundesländer;15;Sachsen-Anhalt;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;5;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2005-12-31;DLAND;Bundesländer;09;Bayern;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;899;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2003-12-31;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDKREDIT02;Kreditmarktschulden;9499;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1992-12-31;DLAND;Bundesländer;15;Sachsen-Anhalt;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;1;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1999-12-31;DLAND;Bundesländer;07;Rheinland-Pfalz;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;70;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;1997-12-31;DLAND;Bundesländer;04;Bremen;KRPGR4;Körperschaftsgruppen;KRPLAENDER01;Länder;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;171;Mill. EUR;SLD001;Schulden;e
71321;Jährliche Schulden d. öffentlichen Gesamthaushalts;STAG;Stichtag;2004-12-31;DLAND;Bundesländer;09;Bayern;KRPGR4;Körperschaftsgruppen;KRPGEMEIN01;Gemeinden / Gemeindeverbände;SLD007;Schuldenarten;SLDOEFFHH02;Schulden bei öffentlichen Haushalten;742;Mill. EUR;SLD001;Schulden;e
