state;sex;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Baden-Württemberg;Male;20.9;e;20.9;e;20.2;e;21.2;e;21.6;e;22.0;e;23.1;e;25.6;e;28.5;e;35.3;e;35.4;e;36.6;e;37.7;e;36.6;e;38.6;e;40.6;e;37.5;e;35.7;e;33.9;e;36.4;e;32.4;e;34.3;e;33.6;e;32.5;e
Baden-Württemberg;Female;16.4;e;17.0;e;15.8;e;19.4;e;19.6;e;20.4;e;22.3;e;24.4;e;27.7;e;32.6;e;33.6;e;36.1;e;36.9;e;36.4;e;38.0;e;39.1;e;38.8;e;39.4;e;39.1;e;44.9;e;38.8;e;42.8;e;39.7;e;38.5;e
Baden-Württemberg;Total;18.7;e;19.0;e;18.0;e;20.3;e;20.6;e;21.2;e;22.7;e;25.0;e;28.1;e;33.9;e;34.5;e;36.3;e;37.3;e;36.5;e;38.3;e;39.8;e;38.1;e;37.5;e;36.4;e;40.4;e;35.4;e;38.3;e;36.5;e;35.3;e
Bayern;Male;17.3;e;17.0;e;18.1;e;18.0;e;18.7;e;20.2;e;20.2;e;21.5;e;23.0;e;25.3;e;27.7;e;29.4;e;30.5;e;29.1;e;29.9;e;31.5;e;29.0;e;27.9;e;26.7;e;26.5;e;24.1;e;25.9;e;24.0;e;24.8;e
Bayern;Female;14.8;e;15.7;e;16.7;e;17.1;e;17.6;e;19.9;e;21.2;e;22.7;e;24.5;e;26.6;e;29.1;e;30.7;e;32.3;e;32.5;e;33.3;e;35.0;e;34.0;e;33.7;e;33.1;e;32.4;e;30.1;e;32.6;e;30.8;e;31.7;e
Bayern;Total;16.1;e;16.4;e;17.4;e;17.6;e;18.2;e;20.1;e;20.7;e;22.1;e;23.8;e;26.0;e;28.4;e;30.0;e;31.4;e;30.8;e;31.6;e;33.2;e;31.4;e;30.7;e;29.8;e;29.3;e;27.0;e;29.1;e;27.2;e;28.1;e
Berlin;Male;23.4;e;23.1;e;24.8;e;26.8;e;28.6;e;32.5;e;30.1;e;29.0;e;30.2;e;33.4;e;32.2;e;33.8;e;35.1;e;33.5;e;33.3;e;33.7;e;33.5;e;31.7;e;31.1;e;32.5;e;28.9;e;33.9;e;35.5;e;44.8;e
Berlin;Female;23.2;e;24.4;e;27.5;e;29.3;e;30.1;e;34.4;e;34.5;e;32.4;e;34.8;e;37.9;e;37.5;e;37.3;e;36.9;e;36.4;e;36.0;e;36.3;e;39.1;e;38.5;e;39.0;e;41.1;e;36.3;e;45.2;e;45.3;e;56.3;e
Berlin;Total;23.3;e;23.8;e;26.2;e;28.1;e;29.4;e;33.5;e;32.3;e;30.7;e;32.6;e;35.7;e;34.9;e;35.6;e;36.0;e;35.0;e;34.7;e;35.0;e;36.3;e;35.1;e;35.1;e;36.8;e;32.6;e;39.5;e;40.4;e;50.6;e
Brandenburg;Male;6.7;e;7.8;e;8.9;e;9.9;e;11.4;e;12.1;e;14.3;e;15.1;e;17.2;e;18.5;e;18.4;e;19.5;e;20.2;e;21.4;e;20.9;e;23.2;e;21.0;e;20.0;e;20.2;e;20.4;e;18.5;e;20.5;e;19.7;e;20.3;e
